"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-08",,,"0.23","0.0","0.0","73","50","60",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-09",,,"0.00","0.0","0.0","87","41","77",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-10",,,"0.00","0.0","0.0","91","70","76",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-11",,,"0.00","0.0","0.0","65","50","51",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-12",,,"0.00","0.0","0.0","67","34","46",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-13",,,"0.00","0.0","0.0","76","35","57",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-14",,,"0.00","0.0","0.0","81","38","60",,,,,,"    1"
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-15",,,"0.00","0.0","0.0","89","45","74",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-16",,,"0.00","0.0","0.0","80","59","59",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-17",,,"0.00","0.0","0.0","70","50","53",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-18",,,"0.00","0.0","0.0","73","40","60",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-19",,,"0.00","0.0","0.0","84","45","68",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-20",,,"0.00","0.0","0.0","88","50","68",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-21",,,"0.00","0.0","0.0","90","49","75",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-22",,,"0.00","0.0","0.0","98","51","74",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-23",,,"0.00","0.0","0.0","100","57","82",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-24",,,"0.11","0.0","0.0","88","61","67",,"    1",,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-25",,,"0.00","0.0","0.0","84","52","68",,"    1",,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-26",,,"0.00","0.0","0.0","85","55","70",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-27",,,"0.00","0.0","0.0","95","49","77",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-28",,,"0.01","0.0","0.0","104","52","72",,"    1",,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-29",,,"0.00","0.0","0.0","104","60","85",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-30",,,"0.00","0.0","0.0","102","80","83",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-05-31",,,"0.00","0.0","0.0","98","72","72",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-01",,,"0.00","0.0","0.0","97","52","75",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-02",,,"0.00","0.0","0.0","98","54","83",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-03",,,"0.00","0.0","0.0","98","52","75",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-04",,,"0.00","0.0","0.0","100","53","72",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-05",,,"0.00","0.0","0.0","102","52","85",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-06",,,"0.00","0.0","0.0","102","53","75",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-07",,,"0.00","0.0","0.0","102","55","82",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-08",,,"0.00","0.0","0.0","95","74","79",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-09",,,"0.00","0.0","0.0","87","69","69",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-10",,,"0.00","0.0","0.0","90","49","67",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-11",,,"0.00","0.0","0.0","96","54","72",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-12",,,"0.00","0.0","0.0","95","50","82",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-13",,,"0.00","0.0","0.0","88","67","75",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-14",,,"0.00","0.0","0.0","97","50","80",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-15",,,"0.00","0.0","0.0","100","55","84",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-06-16",,,"0.00","0.0","0.0","90","67","70",,,,,,
