,TIME,LOCATION,Spending_USD,Life_Expectancy
334,1987,AUS,952.647,76.26666666666667
335,1987,AUT,982.732,74.89999999999999
336,1987,BEL,1009.692,75.43333333333334
337,1987,CAN,1357.453,76.66666666666667
338,1987,CHE,1720.506,77.46666666666667
339,1987,DEU,1480.096,75.63333333333334
340,1987,DNK,1251.13,74.83333333333333
341,1987,ESP,521.903,76.86666666666667
342,1987,FIN,946.648,74.8
343,1987,GBR,634.956,75.16666666666667
344,1987,IRL,639.514,74.39999999999999
345,1987,ISL,1472.035,77.36666666666667
346,1987,JPN,916.703,78.5
347,1987,KOR,206.809,70.10000000000001
348,1987,LUX,1017.736,74.26666666666667
349,1987,NLD,1087.247,76.89999999999999
350,1987,NOR,1037.617,76.23333333333333
351,1987,NZL,767.622,74.46666666666667
352,1987,PRT,495.002,73.76666666666667
353,1987,SWE,1235.997,77.23333333333333
354,1987,TUR,99.289,64.39999999999999
355,1987,USA,1976.166,74.86666666666667
356,1988,AUS,1027.927,76.26666666666667
357,1988,AUT,1051.142,75.36666666666667
358,1988,BEL,1111.783,75.66666666666667
359,1988,CAN,1461.3,76.83333333333333
360,1988,CHE,1856.814,77.46666666666667
361,1988,DEU,1616.349,75.86666666666666
362,1988,DNK,1313.355,74.93333333333334
363,1988,ESP,637.608,76.89999999999999
364,1988,FIN,1028.516,74.76666666666667
365,1988,GBR,688.049,75.26666666666667
366,1988,GRC,617.226,76.8
367,1988,IRL,663.947,74.46666666666667
368,1988,ISL,1597.375,77.13333333333334
369,1988,ITA,1052.784,76.46666666666667
370,1988,JPN,969.251,78.39999999999999
371,1988,KOR,250.267,70.66666666666667
372,1988,LUX,1184.137,75.0
373,1988,NLD,1146.375,77.06666666666666
374,1988,NOR,1082.646,76.36666666666666
375,1988,NZL,884.715,74.8
376,1988,PRT,575.521,73.8
377,1988,SWE,1302.959,77.06666666666666
378,1988,TUR,119.794,65.2
379,1988,USA,2195.392,74.86666666666667
380,1989,AUS,1097.364,76.43333333333334
381,1989,AUT,1162.766,75.43333333333334
382,1989,BEL,1203.71,75.7
383,1989,CAN,1579.543,77.06666666666666
384,1989,CHE,2018.304,77.66666666666667
385,1989,DEU,1596.16,75.96666666666665
386,1989,DNK,1359.255,74.93333333333334
387,1989,ESP,713.201,76.96666666666667
388,1989,FIN,1134.258,74.96666666666667
389,1989,GBR,739.714,75.36666666666666
390,1989,GRC,736.223,77.0
391,1989,IRL,701.046,74.43333333333334
392,1989,ISL,1557.328,78.2
393,1989,ITA,1122.547,76.93333333333334
394,1989,JPN,1021.247,78.83333333333333
395,1989,KOR,316.146,71.16666666666667
396,1989,LUX,1321.83,74.83333333333333
397,1989,NLD,1269.523,76.89999999999999
398,1989,NOR,1114.748,76.63333333333333
399,1989,NZL,951.371,75.16666666666667
400,1989,PRT,578.368,74.4
401,1989,SWE,1413.202,77.76666666666667
402,1989,TUR,128.545,65.7
403,1989,USA,2424.654,75.10000000000001
404,1990,AUS,1166.26,76.96666666666667
405,1990,AUT,1482.281,75.7
406,1990,BEL,1301.908,76.13333333333334
407,1990,CAN,1699.774,77.3
408,1990,CHE,2136.023,77.46666666666667
409,1990,CZE,490.947,71.53333333333333
410,1990,DEU,1724.332,77.26666666666667
411,1990,DNK,1441.516,74.89999999999999
412,1990,ESP,821.704,76.93333333333334
413,1990,FIN,1261.603,75.03333333333333
414,1990,FRA,1459.11,77.0
415,1990,GBR,782.612,75.7
416,1990,GRC,773.66,77.10000000000001
417,1990,IRL,752.033,74.86666666666666
418,1990,ISL,1575.185,78.10000000000001
419,1990,ITA,1274.024,77.06666666666666
420,1990,JPN,1088.959,78.9
421,1990,KOR,355.831,71.7
422,1990,LUX,1475.695,75.60000000000001
423,1990,NLD,1399.987,77.03333333333333
424,1990,NOR,1361.085,76.63333333333334
425,1990,NZL,1022.758,75.46666666666667
426,1990,POL,302.623,70.76666666666667
427,1990,PRT,630.448,74.06666666666666
428,1990,SWE,1489.775,77.66666666666667
429,1990,TUR,152.481,67.46666666666667
430,1990,USA,2684.984,75.33333333333333
431,1991,AUS,1234.372,77.36666666666667
432,1991,AUT,1585.776,75.76666666666667
433,1991,BEL,1421.009,76.3
434,1991,CAN,1805.209,77.56666666666666
435,1991,CHE,2334.495,77.8
436,1991,CZE,438.433,72.0
437,1991,DNK,1484.027,75.3
438,1991,ESP,898.666,77.06666666666666
439,1991,FIN,1350.305,75.46666666666667
440,1991,FRA,1558.033,77.2
441,1991,GBR,842.797,75.89999999999999
442,1991,GRC,796.095,77.3
443,1991,HUN,589.815,69.5
444,1991,IRL,839.708,75.06666666666666
445,1991,ISL,1662.582,78.06666666666666
446,1991,ITA,1387.471,77.10000000000001
447,1991,JPN,1166.43,79.1
448,1991,KOR,378.036,72.16666666666667
449,1991,LUX,1549.962,75.66666666666667
450,1991,NLD,1500.763,77.2
451,1991,NOR,1481.429,77.10000000000001
452,1991,NZL,1069.019,75.8
453,1991,POL,302.388,70.46666666666667
454,1991,PRT,734.165,74.10000000000001
455,1991,SWE,1480.501,77.83333333333333
456,1991,TUR,175.396,67.76666666666667
457,1991,USA,2901.589,75.46666666666667
458,1992,AUS,1305.536,77.43333333333334
459,1992,AUT,1706.858,75.96666666666665
460,1992,BEL,1525.716,76.46666666666667
461,1992,CAN,1897.456,77.76666666666667
462,1992,CHE,2434.099,78.06666666666666
463,1992,CZE,462.649,72.43333333333334
464,1992,DEU,2019.308,76.06666666666666
465,1992,DNK,1554.371,75.3
466,1992,ESP,980.365,77.56666666666666
467,1992,FIN,1334.32,75.66666666666667
468,1992,FRA,1651.139,77.5
469,1992,GBR,930.701,76.3
470,1992,GRC,887.703,77.2
471,1992,HUN,627.198,69.3
472,1992,IRL,919.418,75.46666666666667
473,1992,ISL,1665.65,78.8
474,1992,ITA,1403.629,77.5
475,1992,JPN,1253.415,79.16666666666667
476,1992,KOR,418.789,72.60000000000001
477,1992,LUX,1664.8,75.26666666666667
478,1992,NLD,1587.969,77.36666666666667
479,1992,NOR,1556.714,77.33333333333333
480,1992,NZL,1121.818,76.06666666666666
481,1992,POL,324.833,71.03333333333333
482,1992,PRT,790.8,74.7
483,1992,SWE,1537.277,78.2
484,1992,TUR,182.732,68.16666666666667
485,1992,USA,3100.343,75.73333333333333
486,1993,AUS,1373.205,77.93333333333334
487,1993,AUT,1849.904,76.2
488,1993,BEL,1583.708,76.46666666666667
489,1993,CAN,1930.889,77.8
490,1993,CHE,2492.24,78.36666666666667
491,1993,CZE,658.263,72.89999999999999
492,1993,DEU,2040.313,76.13333333333334
493,1993,DNK,1646.894,75.2
494,1993,ESP,1028.93,77.66666666666667
495,1993,FIN,1226.337,75.83333333333333
496,1993,FRA,1753.485,77.53333333333335
497,1993,GBR,995.728,76.2
498,1993,GRC,1001.482,77.6
499,1993,HUN,647.757,69.3
500,1993,IRL,992.766,75.3
501,1993,ISL,1697.821,78.96666666666665
502,1993,ITA,1398.26,77.8
503,1993,JPN,1332.213,79.39999999999999
504,1993,KOR,442.195,73.10000000000001
505,1993,LUX,1812.655,75.93333333333334
506,1993,NLD,1649.433,77.06666666666666
507,1993,NOR,1605.399,77.23333333333333
508,1993,NZL,1171.927,76.3
509,1993,POL,349.419,71.53333333333335
510,1993,PRT,823.992,74.56666666666666
511,1993,SWE,1522.519,78.2
512,1993,TUR,197.035,68.5
